bike_id,vehicle_type_id,lat,lon,is_reserved,is_disabled,current_range_m,last_reported,current_zone_id
GLW_B0051,standard_v1,55.862764,-4.270693,False,False,,2026-05-23T07:39:01.532467Z,GLW_Z052
GLW_B0052,ebike_v2,55.870057,-4.238787,False,False,28586,2026-05-23T07:39:01.532501Z,GLW_Z017
GLW_B0053,standard_v1,55.864839,-4.226826,False,False,,2026-05-23T07:39:01.532513Z,GLW_Z007
GLW_B0054,cargo_v1,55.884459,-4.22952,False,False,,2026-05-23T07:39:01.532523Z,GLW_Z038
GLW_B0055,standard_v1,55.855336,-4.260986,False,False,,2026-05-23T07:39:01.532530Z,GLW_Z027
GLW_B0056,standard_v1,55.859899,-4.257464,False,False,,2026-05-23T07:39:01.532538Z,GLW_Z034
GLW_B0057,ebike_v2,55.849162,-4.231951,False,False,23346,2026-05-23T07:39:01.532546Z,GLW_Z031
GLW_B0058,ebike_v2,55.872148,-4.277138,False,False,21022,2026-05-23T07:39:01.532554Z,GLW_Z005
GLW_B0059,ebike_v2,55.865833,-4.242455,False,True,25582,2026-05-23T07:39:01.532562Z,GLW_Z055
GLW_B0060,ebike_v2,55.860932,-4.251683,False,False,34948,2026-05-23T07:39:01.532569Z,GLW_Z008
GLW_B0061,standard_v1,55.858308,-4.206404,False,True,,2026-05-23T07:39:01.532576Z,GLW_Z041
GLW_B0062,ebike_v2,55.858531,-4.249546,False,False,28820,2026-05-23T07:39:01.532583Z,GLW_Z057
GLW_B0063,ebike_v2,55.870675,-4.255716,False,False,9485,2026-05-23T07:39:01.532590Z,GLW_Z053
GLW_B0064,standard_v1,55.861833,-4.256634,False,False,,2026-05-23T07:39:01.532597Z,GLW_Z003
GLW_B0065,cargo_v1,55.861875,-4.272037,False,False,,2026-05-23T07:39:01.532604Z,GLW_Z009
GLW_B0066,standard_v1,55.848973,-4.264788,False,False,,2026-05-23T07:39:01.532611Z,GLW_Z035
GLW_B0067,cargo_v1,55.864697,-4.226931,False,False,,2026-05-23T07:39:01.532647Z,GLW_Z007
GLW_B0068,cargo_v1,55.856656,-4.302869,False,False,,2026-05-23T07:39:01.532659Z,GLW_Z045
GLW_B0069,cargo_v1,55.864732,-4.226618,False,False,,2026-05-23T07:39:01.532668Z,GLW_Z007
GLW_B0070,standard_v1,55.864692,-4.274936,False,False,,2026-05-23T07:39:01.532675Z,GLW_Z004
GLW_B0071,ebike_v2,55.869981,-4.29442,False,False,9657,2026-05-23T07:39:01.532683Z,GLW_Z030
GLW_B0072,ebike_v2,55.888586,-4.226035,False,False,33072,2026-05-23T07:39:01.532691Z,GLW_Z051
GLW_B0073,ebike_v2,55.869434,-4.308641,False,False,12835,2026-05-23T07:39:01.532704Z,GLW_Z036
GLW_B0074,ebike_v2,55.88885,-4.226491,False,False,12259,2026-05-23T07:39:01.532711Z,GLW_Z051
GLW_B0075,ebike_v2,55.849253,-4.264869,False,True,8486,2026-05-23T07:39:01.532743Z,GLW_Z035
GLW_B0076,standard_v1,55.860632,-4.264036,False,False,,2026-05-23T07:39:01.532757Z,GLW_Z023
GLW_B0077,standard_v1,55.865009,-4.274803,False,False,,2026-05-23T07:39:01.532767Z,GLW_Z004
GLW_B0078,standard_v1,55.871444,-4.233399,False,False,,2026-05-23T07:39:01.532776Z,GLW_Z029
GLW_B0079,ebike_v2,55.828587,-4.301336,False,False,23009,2026-05-23T07:39:01.532785Z,GLW_Z040
GLW_B0080,standard_v1,55.859001,-4.264013,False,False,,2026-05-23T07:39:01.532792Z,GLW_Z042
GLW_B0081,standard_v1,55.882894,-4.250397,False,False,,2026-05-23T07:39:01.532798Z,GLW_Z044
GLW_B0082,standard_v1,55.859884,-4.288367,False,False,,2026-05-23T07:39:01.532805Z,GLW_Z021
GLW_B0083,ebike_v2,55.869328,-4.309058,False,False,24565,2026-05-23T07:39:01.532812Z,GLW_Z036
GLW_B0084,standard_v1,55.862794,-4.271045,False,False,,2026-05-23T07:39:01.532845Z,GLW_Z039
GLW_B0085,standard_v1,55.858391,-4.249925,False,False,,2026-05-23T07:39:01.532856Z,GLW_Z057
GLW_B0086,standard_v1,55.861436,-4.25099,False,False,,2026-05-23T07:39:01.532889Z,GLW_Z015
GLW_B0087,standard_v1,55.859717,-4.288264,False,False,,2026-05-23T07:39:01.532925Z,GLW_Z021
GLW_B0088,standard_v1,55.848632,-4.271761,False,False,,2026-05-23T07:39:01.532934Z,GLW_Z060
GLW_B0089,ebike_v2,55.875552,-4.237701,False,False,26402,2026-05-23T07:39:01.532942Z,GLW_Z048
GLW_B0090,standard_v1,55.869351,-4.308714,False,False,,2026-05-23T07:39:01.532949Z,GLW_Z036
GLW_B0091,standard_v1,55.865765,-4.259625,False,False,,2026-05-23T07:39:01.532955Z,GLW_Z049
GLW_B0092,standard_v1,55.85056,-4.256592,False,False,,2026-05-23T07:39:01.532962Z,GLW_Z020
GLW_B0093,ebike_v2,55.861854,-4.251318,False,False,17128,2026-05-23T07:39:01.532969Z,GLW_Z015
GLW_B0094,ebike_v2,55.86549,-4.284426,False,False,28372,2026-05-23T07:39:01.532977Z,GLW_Z037
GLW_B0095,ebike_v2,55.827879,-4.301833,False,False,30723,2026-05-23T07:39:01.532984Z,GLW_Z040
GLW_B0096,ebike_v2,55.841917,-4.265199,False,False,19502,2026-05-23T07:39:01.533019Z,GLW_Z018
GLW_B0097,ebike_v2,55.849045,-4.28107,False,False,32280,2026-05-23T07:39:01.533031Z,GLW_Z001
GLW_B0098,standard_v1,55.858302,-4.20639,False,False,,2026-05-23T07:39:01.533040Z,GLW_Z041
GLW_B0099,ebike_v2,55.869831,-4.294343,False,False,26598,2026-05-23T07:39:01.533049Z,GLW_Z030
GLW_B0100,standard_v1,55.863289,-4.271246,False,False,,2026-05-23T07:39:01.533056Z,GLW_Z039
GLW_B0101,standard_v1,55.882812,-4.250508,False,False,,2026-05-23T07:39:01.533063Z,GLW_Z044
GLW_B0102,standard_v1,55.855284,-4.260793,False,False,,2026-05-23T07:39:01.533070Z,GLW_Z027
GLW_B0103,standard_v1,55.890436,-4.330547,False,False,,2026-05-23T07:39:01.533076Z,GLW_Z019
GLW_B0104,standard_v1,55.861544,-4.251018,False,False,,2026-05-23T07:39:01.533083Z,GLW_Z015
GLW_B0105,standard_v1,55.857996,-4.256036,False,False,,2026-05-23T07:39:01.533089Z,GLW_Z014
GLW_B0106,standard_v1,55.88402,-4.318259,False,False,,2026-05-23T07:39:01.533127Z,GLW_Z032
GLW_B0107,standard_v1,55.880721,-4.235582,False,False,,2026-05-23T07:39:01.533137Z,GLW_Z033
GLW_B0108,cargo_v1,55.875605,-4.237136,False,False,,2026-05-23T07:39:01.533144Z,GLW_Z048
GLW_B0109,ebike_v2,55.865367,-4.284498,False,False,21272,2026-05-23T07:39:01.533152Z,GLW_Z037
GLW_B0110,cargo_v1,55.859262,-4.261132,False,False,,2026-05-23T07:39:01.533159Z,GLW_Z002
GLW_B0111,ebike_v2,55.856859,-4.303063,False,False,27296,2026-05-23T07:39:01.533167Z,GLW_Z045
GLW_B0112,standard_v1,55.867146,-4.300565,False,False,,2026-05-23T07:39:01.533173Z,GLW_Z026
GLW_B0113,ebike_v2,55.85504,-4.251434,False,False,14353,2026-05-23T07:39:01.533181Z,GLW_Z022
GLW_B0114,cargo_v1,55.877525,-4.282868,False,False,,2026-05-23T07:39:01.533187Z,GLW_Z058
GLW_B0115,standard_v1,55.854632,-4.24555,False,False,,2026-05-23T07:39:01.533194Z,GLW_Z010
GLW_B0116,cargo_v1,55.866029,-4.259787,False,False,,2026-05-23T07:39:01.533226Z,GLW_Z049
GLW_B0117,standard_v1,55.869918,-4.294767,False,False,,2026-05-23T07:39:01.533239Z,GLW_Z030
GLW_B0118,standard_v1,55.865295,-4.284771,False,False,,2026-05-23T07:39:01.533248Z,GLW_Z037
GLW_B0119,standard_v1,55.859912,-4.288337,False,False,,2026-05-23T07:39:01.533257Z,GLW_Z021
GLW_B0120,standard_v1,55.841734,-4.265277,False,False,,2026-05-23T07:39:01.533264Z,GLW_Z018
GLW_B0121,standard_v1,55.862292,-4.256718,False,False,,2026-05-23T07:39:01.533271Z,GLW_Z003
GLW_B0122,standard_v1,55.86599,-4.24218,False,False,,2026-05-23T07:39:01.533279Z,GLW_Z055
GLW_B0123,cargo_v1,55.888847,-4.226512,False,False,,2026-05-23T07:39:01.533285Z,GLW_Z051
GLW_B0124,standard_v1,55.861085,-4.271948,False,False,,2026-05-23T07:39:01.533292Z,GLW_Z013
GLW_B0125,cargo_v1,55.864699,-4.227087,False,False,,2026-05-23T07:39:01.533298Z,GLW_Z007
GLW_B0126,standard_v1,55.859034,-4.263879,False,False,,2026-05-23T07:39:01.533334Z,GLW_Z042
GLW_B0127,cargo_v1,55.859896,-4.257567,False,False,,2026-05-23T07:39:01.533346Z,GLW_Z034
GLW_B0128,ebike_v2,55.86284,-4.263212,False,False,10159,2026-05-23T07:39:01.533357Z,GLW_Z050
GLW_B0129,standard_v1,55.855366,-4.251163,False,False,,2026-05-23T07:39:01.533365Z,GLW_Z022
GLW_B0130,standard_v1,55.873537,-4.251325,False,False,,2026-05-23T07:39:01.533372Z,GLW_Z043
GLW_B0131,cargo_v1,55.873279,-4.25104,False,False,,2026-05-23T07:39:01.533379Z,GLW_Z043
GLW_B0132,standard_v1,55.867701,-4.300204,False,False,,2026-05-23T07:39:01.533410Z,GLW_Z026
GLW_B0133,ebike_v2,55.859088,-4.264458,False,False,32208,2026-05-23T07:39:01.533424Z,GLW_Z042
GLW_B0134,ebike_v2,55.882663,-4.250638,False,False,8597,2026-05-23T07:39:01.533435Z,GLW_Z044
GLW_B0135,standard_v1,55.879066,-4.251495,False,False,,2026-05-23T07:39:01.533443Z,GLW_Z024
GLW_B0136,standard_v1,55.861179,-4.27207,False,False,,2026-05-23T07:39:01.533450Z,GLW_Z013
GLW_B0137,ebike_v2,55.864154,-4.226607,False,False,29690,2026-05-23T07:39:01.533457Z,GLW_Z007
GLW_B0138,ebike_v2,55.855294,-4.251647,False,False,13925,2026-05-23T07:39:01.533491Z,GLW_Z022
GLW_B0139,cargo_v1,55.86399,-4.239753,False,False,,2026-05-23T07:39:01.533503Z,GLW_Z054
GLW_B0140,standard_v1,55.861634,-4.256685,False,False,,2026-05-23T07:39:01.533513Z,GLW_Z003
GLW_B0141,standard_v1,55.890533,-4.330637,False,False,,2026-05-23T07:39:01.533520Z,GLW_Z019
GLW_B0142,standard_v1,55.862825,-4.271782,False,False,,2026-05-23T07:39:01.533527Z,GLW_Z052
GLW_B0143,standard_v1,55.865604,-4.284561,False,False,,2026-05-23T07:39:01.533534Z,GLW_Z037
GLW_B0144,standard_v1,55.859958,-4.257427,False,False,,2026-05-23T07:39:01.533540Z,GLW_Z034
GLW_B0145,ebike_v2,55.856144,-4.303599,False,False,11361,2026-05-23T07:39:01.533575Z,GLW_Z056
GLW_B0146,standard_v1,55.864868,-4.329315,False,False,,2026-05-23T07:39:01.533587Z,GLW_Z046
GLW_B0147,ebike_v2,55.841672,-4.265163,False,False,15275,2026-05-23T07:39:01.533597Z,GLW_Z018
GLW_B0148,standard_v1,55.870808,-4.255735,False,False,,2026-05-23T07:39:01.533630Z,GLW_Z053
GLW_B0149,standard_v1,55.880889,-4.235336,False,False,,2026-05-23T07:39:01.533641Z,GLW_Z033
GLW_B0150,ebike_v2,55.860133,-4.288462,False,False,12508,2026-05-23T07:39:01.533651Z,GLW_Z021
GLW_B0151,ebike_v2,55.86182,-4.256467,False,False,31119,2026-05-23T07:39:01.533659Z,GLW_Z003
GLW_B0152,standard_v1,55.848974,-4.231912,False,False,,2026-05-23T07:39:01.533666Z,GLW_Z031
GLW_B0153,ebike_v2,55.864325,-4.239172,False,False,33433,2026-05-23T07:39:01.533673Z,GLW_Z054
GLW_B0154,standard_v1,55.890532,-4.330311,False,False,,2026-05-23T07:39:01.533680Z,GLW_Z019
GLW_B0155,cargo_v1,55.827982,-4.301463,False,False,,2026-05-23T07:39:01.533686Z,GLW_Z040
GLW_B0156,ebike_v2,55.859007,-4.26131,False,False,8051,2026-05-23T07:39:01.533698Z,GLW_Z002
GLW_B0157,standard_v1,55.827816,-4.301164,False,False,,2026-05-23T07:39:01.533705Z,GLW_Z040
GLW_B0158,standard_v1,55.860052,-4.257468,False,False,,2026-05-23T07:39:01.533712Z,GLW_Z034
GLW_B0159,standard_v1,55.880843,-4.235529,False,False,,2026-05-23T07:39:01.533718Z,GLW_Z033
GLW_B0160,ebike_v2,55.879246,-4.25195,False,False,32017,2026-05-23T07:39:01.533726Z,GLW_Z024
GLW_B0161,ebike_v2,55.872749,-4.251622,False,False,9452,2026-05-23T07:39:01.533733Z,GLW_Z043
GLW_B0162,standard_v1,55.860133,-4.264037,False,False,,2026-05-23T07:39:01.533739Z,GLW_Z023
GLW_B0163,standard_v1,55.870098,-4.294489,False,False,,2026-05-23T07:39:01.533746Z,GLW_Z030
GLW_B0164,standard_v1,55.86474,-4.329236,False,False,,2026-05-23T07:39:01.533752Z,GLW_Z046
GLW_B0165,standard_v1,55.86127,-4.272212,False,False,,2026-05-23T07:39:01.533787Z,GLW_Z013
GLW_B0166,ebike_v2,55.870842,-4.255801,False,False,19697,2026-05-23T07:39:01.533799Z,GLW_Z053
GLW_B0167,standard_v1,55.856246,-4.304512,False,False,,2026-05-23T07:39:01.533806Z,GLW_Z056
GLW_B0168,standard_v1,55.879053,-4.251877,False,False,,2026-05-23T07:39:01.533813Z,GLW_Z024
GLW_B0169,standard_v1,55.855323,-4.251437,False,False,,2026-05-23T07:39:01.533819Z,GLW_Z022
GLW_B0170,standard_v1,55.860018,-4.257426,False,False,,2026-05-23T07:39:01.533825Z,GLW_Z034
GLW_B0171,standard_v1,55.870981,-4.255674,False,False,,2026-05-23T07:39:01.533832Z,GLW_Z053
GLW_B0172,standard_v1,55.890454,-4.330151,False,False,,2026-05-23T07:39:01.533838Z,GLW_Z019
GLW_B0173,cargo_v1,55.860188,-4.263758,False,False,,2026-05-23T07:39:01.533845Z,GLW_Z023
GLW_B0174,cargo_v1,55.872792,-4.253989,False,False,,2026-05-23T07:39:01.533852Z,GLW_Z028
GLW_B0175,ebike_v2,55.858004,-4.206217,False,False,9020,2026-05-23T07:39:01.533859Z,GLW_Z041
GLW_B0176,standard_v1,55.854769,-4.245802,False,False,,2026-05-23T07:39:01.533865Z,GLW_Z010
GLW_B0177,standard_v1,55.861877,-4.255417,False,False,,2026-05-23T07:39:01.533872Z,GLW_Z016
GLW_B0178,standard_v1,55.863426,-4.271023,False,False,,2026-05-23T07:39:01.533878Z,GLW_Z039
GLW_B0179,standard_v1,55.871424,-4.277794,False,False,,2026-05-23T07:39:01.533885Z,GLW_Z005
GLW_B0180,standard_v1,55.861862,-4.255283,False,False,,2026-05-23T07:39:01.533919Z,GLW_Z016
GLW_B0181,standard_v1,55.835981,-4.230786,False,False,,2026-05-23T07:39:01.533931Z,GLW_Z059
GLW_B0182,standard_v1,55.827914,-4.300856,False,False,,2026-05-23T07:39:01.533939Z,GLW_Z040
GLW_B0183,ebike_v2,55.865846,-4.24228,False,False,34558,2026-05-23T07:39:01.533947Z,GLW_Z055
GLW_B0184,ebike_v2,55.883094,-4.250711,False,False,26022,2026-05-23T07:39:01.533983Z,GLW_Z044
GLW_B0185,standard_v1,55.84922,-4.264818,False,False,,2026-05-23T07:39:01.534015Z,GLW_Z035
GLW_B0186,standard_v1,55.856544,-4.303361,False,False,,2026-05-23T07:39:01.534024Z,GLW_Z045
GLW_B0187,standard_v1,55.861197,-4.272221,False,False,,2026-05-23T07:39:01.534031Z,GLW_Z013
GLW_B0188,ebike_v2,55.865315,-4.284378,False,False,10825,2026-05-23T07:39:01.534089Z,GLW_Z037
GLW_B0189,ebike_v2,55.871497,-4.277015,False,False,33203,2026-05-23T07:39:01.534102Z,GLW_Z005
GLW_B0190,cargo_v1,55.855328,-4.261042,False,False,,2026-05-23T07:39:01.534111Z,GLW_Z027
GLW_B0191,standard_v1,55.871031,-4.232972,False,False,,2026-05-23T07:39:01.534119Z,GLW_Z029
GLW_B0192,cargo_v1,55.869309,-4.308892,False,False,,2026-05-23T07:39:01.534125Z,GLW_Z036
GLW_B0193,standard_v1,55.836546,-4.231146,False,False,,2026-05-23T07:39:01.534132Z,GLW_Z059
GLW_B0194,standard_v1,55.874897,-4.264023,False,False,,2026-05-23T07:39:01.534138Z,GLW_Z011
GLW_B0195,standard_v1,55.877485,-4.282639,False,False,,2026-05-23T07:39:01.534144Z,GLW_Z058
GLW_B0196,standard_v1,55.841899,-4.265145,False,False,,2026-05-23T07:39:01.534151Z,GLW_Z018
GLW_B0197,standard_v1,55.874831,-4.264384,False,False,,2026-05-23T07:39:01.534157Z,GLW_Z011
GLW_B0198,ebike_v2,55.877134,-4.28296,False,False,8929,2026-05-23T07:39:01.534165Z,GLW_Z058
GLW_B0199,ebike_v2,55.873974,-4.237765,False,False,33131,2026-05-23T07:39:01.534172Z,GLW_Z006
GLW_B0200,standard_v1,55.865313,-4.284456,False,False,,2026-05-23T07:39:01.534178Z,GLW_Z037
GLW_B0201,standard_v1,55.890461,-4.33044,False,False,,2026-05-23T07:39:01.534185Z,GLW_Z019
GLW_B0202,standard_v1,55.867379,-4.300484,False,False,,2026-05-23T07:39:01.534192Z,GLW_Z026
GLW_B0203,standard_v1,55.848765,-4.231865,False,False,,2026-05-23T07:39:01.534198Z,GLW_Z031
GLW_B0204,cargo_v1,55.859874,-4.288616,False,False,,2026-05-23T07:39:01.534233Z,GLW_Z021
GLW_B0205,standard_v1,55.879191,-4.251963,False,False,,2026-05-23T07:39:01.534244Z,GLW_Z024
GLW_B0206,standard_v1,55.871383,-4.232981,False,False,,2026-05-23T07:39:01.534254Z,GLW_Z029
GLW_B0207,cargo_v1,55.827468,-4.301151,False,False,,2026-05-23T07:39:01.534261Z,GLW_Z040
GLW_B0208,ebike_v2,55.848522,-4.271857,False,False,24866,2026-05-23T07:39:01.534269Z,GLW_Z060
GLW_B0209,standard_v1,55.869788,-4.294465,False,False,,2026-05-23T07:39:01.534275Z,GLW_Z030
GLW_B0210,ebike_v2,55.880908,-4.235436,False,False,17219,2026-05-23T07:39:01.534283Z,GLW_Z033
GLW_B0211,ebike_v2,55.883699,-4.318404,False,False,8267,2026-05-23T07:39:01.534317Z,GLW_Z032
GLW_B0212,standard_v1,55.865825,-4.242277,False,False,,2026-05-23T07:39:01.534330Z,GLW_Z055
GLW_B0213,ebike_v2,55.867225,-4.300339,False,False,26128,2026-05-23T07:39:01.534341Z,GLW_Z026
GLW_B0214,ebike_v2,55.890692,-4.330274,False,False,28422,2026-05-23T07:39:01.534349Z,GLW_Z019
GLW_B0215,standard_v1,55.882576,-4.250654,False,False,,2026-05-23T07:39:01.534356Z,GLW_Z044
GLW_B0216,standard_v1,55.854829,-4.251466,False,False,,2026-05-23T07:39:01.534363Z,GLW_Z022
GLW_B0217,standard_v1,55.867364,-4.300528,False,False,,2026-05-23T07:39:01.534369Z,GLW_Z026
GLW_B0218,ebike_v2,55.848882,-4.231925,False,False,28089,2026-05-23T07:39:01.534377Z,GLW_Z031
GLW_B0219,ebike_v2,55.860059,-4.288095,False,False,19022,2026-05-23T07:39:01.534384Z,GLW_Z021
GLW_B0220,ebike_v2,55.881139,-4.235691,False,False,34730,2026-05-23T07:39:01.534391Z,GLW_Z033
GLW_B0221,cargo_v1,55.858975,-4.260887,False,False,,2026-05-23T07:39:01.534397Z,GLW_Z002
GLW_B0222,ebike_v2,55.889222,-4.226765,False,False,16700,2026-05-23T07:39:01.534405Z,GLW_Z051
GLW_B0223,ebike_v2,55.859059,-4.264443,False,False,27120,2026-05-23T07:39:01.534441Z,GLW_Z042
GLW_B0224,ebike_v2,55.84917,-4.23156,False,False,12842,2026-05-23T07:39:01.534453Z,GLW_Z031
GLW_B0225,cargo_v1,55.870929,-4.255786,False,False,,2026-05-23T07:39:01.534460Z,GLW_Z053
GLW_B0226,standard_v1,55.859006,-4.261045,False,False,,2026-05-23T07:39:01.534467Z,GLW_Z002
GLW_B0227,ebike_v2,55.881088,-4.235901,False,False,10040,2026-05-23T07:39:01.534474Z,GLW_Z033
GLW_B0228,standard_v1,55.864758,-4.329044,False,False,,2026-05-23T07:39:01.534481Z,GLW_Z046
GLW_B0229,standard_v1,55.859714,-4.257162,False,False,,2026-05-23T07:39:01.534488Z,GLW_Z034
GLW_B0230,ebike_v2,55.84905,-4.264679,False,False,30718,2026-05-23T07:39:01.534495Z,GLW_Z035
GLW_B0231,standard_v1,55.870125,-4.238574,False,False,,2026-05-23T07:39:01.534501Z,GLW_Z017
GLW_B0232,ebike_v2,55.862183,-4.251348,False,False,30617,2026-05-23T07:39:01.534508Z,GLW_Z015
GLW_B0233,ebike_v2,55.864565,-4.329084,False,False,31647,2026-05-23T07:39:01.534516Z,GLW_Z046
GLW_B0234,standard_v1,55.841786,-4.265034,False,False,,2026-05-23T07:39:01.534523Z,GLW_Z018
GLW_B0235,ebike_v2,55.867644,-4.301075,False,False,17425,2026-05-23T07:39:01.534530Z,GLW_Z026
GLW_B0236,ebike_v2,55.864972,-4.328955,False,False,15011,2026-05-23T07:39:01.534537Z,GLW_Z046
GLW_B0237,ebike_v2,55.861224,-4.272225,False,False,11579,2026-05-23T07:39:01.534544Z,GLW_Z013
GLW_B0238,standard_v1,55.828047,-4.301652,False,False,,2026-05-23T07:39:01.534550Z,GLW_Z040
GLW_B0239,standard_v1,55.861746,-4.251204,False,False,,2026-05-23T07:39:01.534584Z,GLW_Z015
GLW_B0240,cargo_v1,55.864462,-4.22667,False,False,,2026-05-23T07:39:01.534596Z,GLW_Z007
GLW_B0241,ebike_v2,55.87472,-4.264069,False,False,14535,2026-05-23T07:39:01.534631Z,GLW_Z011
GLW_B0242,ebike_v2,55.866129,-4.259786,False,False,10931,2026-05-23T07:39:01.534644Z,GLW_Z049
GLW_B0243,ebike_v2,55.858691,-4.264144,False,False,13736,2026-05-23T07:39:01.534707Z,GLW_Z042
